,color,color_name,hex,rgb
95,brown_traditional,Brown (Traditional),#964b00,"[150, 75, 0]"
96,brown_web,Brown (Web),#a52a2a,"[165, 42, 42]"
97,bubble_gum,Bubble Gum,#ffc1cc,"[255, 193, 204]"
98,bubbles,Bubbles,#e7feff,"[231, 254, 255]"
99,buff,Buff,#f0dc82,"[240, 220, 130]"
100,bulgarian_rose,Bulgarian Rose,#480607,"[72, 6, 7]"
101,burgundy,Burgundy,#800020,"[128, 0, 32]"
102,burlywood,Burlywood,#deb887,"[222, 184, 135]"
103,burnt_orange,Burnt Orange,#c50,"[204, 85, 0]"
104,burnt_sienna,Burnt Sienna,#e97451,"[233, 116, 81]"
105,burnt_umber,Burnt Umber,#8a3324,"[138, 51, 36]"
106,byzantine,Byzantine,#bd33a4,"[189, 51, 164]"
107,byzantium,Byzantium,#702963,"[112, 41, 99]"
108,cadet,Cadet,#536872,"[83, 104, 114]"
109,cadet_blue,Cadet Blue,#5f9ea0,"[95, 158, 160]"
110,cadet_grey,Cadet Grey,#91a3b0,"[145, 163, 176]"
111,cadmium_green,Cadmium Green,#006b3c,"[0, 107, 60]"
112,cadmium_orange,Cadmium Orange,#ed872d,"[237, 135, 45]"
113,cadmium_red,Cadmium Red,#e30022,"[227, 0, 34]"
114,cadmium_yellow,Cadmium Yellow,#fff600,"[255, 246, 0]"
115,caf_au_lait,Café Au Lait,#a67b5b,"[166, 123, 91]"
116,caf_noir,Café Noir,#4b3621,"[75, 54, 33]"
117,cal_poly_green,Cal Poly Green,#1e4d2b,"[30, 77, 43]"
118,cambridge_blue,Cambridge Blue,#a3c1ad,"[163, 193, 173]"
119,camel,Camel,#c19a6b,"[193, 154, 107]"
120,cameo_pink,Cameo Pink,#efbbcc,"[239, 187, 204]"
121,camouflage_green,Camouflage Green,#78866b,"[120, 134, 107]"
122,canary_yellow,Canary Yellow,#ffef00,"[255, 239, 0]"
123,candy_apple_red,Candy Apple Red,#ff0800,"[255, 8, 0]"
124,candy_pink,Candy Pink,#e4717a,"[228, 113, 122]"
125,capri,Capri,#00bfff,"[0, 191, 255]"
126,caput_mortuum,Caput Mortuum,#592720,"[89, 39, 32]"
127,cardinal,Cardinal,#c41e3a,"[196, 30, 58]"
128,caribbean_green,Caribbean Green,#0c9,"[0, 204, 153]"
129,carmine,Carmine,#960018,"[150, 0, 24]"
130,carmine_m_p,Carmine (M&P),#d70040,"[215, 0, 64]"
131,carmine_pink,Carmine Pink,#eb4c42,"[235, 76, 66]"
132,carmine_red,Carmine Red,#ff0038,"[255, 0, 56]"
133,carnation_pink,Carnation Pink,#ffa6c9,"[255, 166, 201]"
134,carnelian,Carnelian,#b31b1b,"[179, 27, 27]"
135,carolina_blue,Carolina Blue,#99badd,"[153, 186, 221]"
136,carrot_orange,Carrot Orange,#ed9121,"[237, 145, 33]"
137,catalina_blue,Catalina Blue,#062a78,"[6, 42, 120]"
138,ceil,Ceil,#92a1cf,"[146, 161, 207]"
139,celadon,Celadon,#ace1af,"[172, 225, 175]"
140,celadon_blue,Celadon Blue,#007ba7,"[0, 123, 167]"
141,celadon_green,Celadon Green,#2f847c,"[47, 132, 124]"
142,celeste_colour,Celeste (Colour),#b2ffff,"[178, 255, 255]"
143,celestial_blue,Celestial Blue,#4997d0,"[73, 151, 208]"
144,cerise,Cerise,#de3163,"[222, 49, 99]"
145,cerise_pink,Cerise Pink,#ec3b83,"[236, 59, 131]"
146,cerulean,Cerulean,#007ba7,"[0, 123, 167]"
147,cerulean_blue,Cerulean Blue,#2a52be,"[42, 82, 190]"
148,cerulean_frost,Cerulean Frost,#6d9bc3,"[109, 155, 195]"
149,cg_blue,Cg Blue,#007aa5,"[0, 122, 165]"
150,cg_red,Cg Red,#e03c31,"[224, 60, 49]"
151,chamoisee,Chamoisee,#a0785a,"[160, 120, 90]"
152,champagne,Champagne,#fad6a5,"[250, 214, 165]"
153,charcoal,Charcoal,#36454f,"[54, 69, 79]"
154,charm_pink,Charm Pink,#e68fac,"[230, 143, 172]"
155,chartreuse_traditional,Chartreuse (Traditional),#dfff00,"[223, 255, 0]"
156,chartreuse_web,Chartreuse (Web),#7fff00,"[127, 255, 0]"
157,cherry,Cherry,#de3163,"[222, 49, 99]"
158,cherry_blossom_pink,Cherry Blossom Pink,#ffb7c5,"[255, 183, 197]"
159,chestnut,Chestnut,#cd5c5c,"[205, 92, 92]"
160,china_pink,China Pink,#de6fa1,"[222, 111, 161]"
161,china_rose,China Rose,#a8516e,"[168, 81, 110]"
162,chinese_red,Chinese Red,#aa381e,"[170, 56, 30]"
163,chocolate_traditional,Chocolate (Traditional),#7b3f00,"[123, 63, 0]"
164,chocolate_web,Chocolate (Web),#d2691e,"[210, 105, 30]"
165,chrome_yellow,Chrome Yellow,#ffa700,"[255, 167, 0]"
166,cinereous,Cinereous,#98817b,"[152, 129, 123]"
167,cinnabar,Cinnabar,#e34234,"[227, 66, 52]"
168,cinnamon,Cinnamon,#d2691e,"[210, 105, 30]"
169,citrine,Citrine,#e4d00a,"[228, 208, 10]"
170,classic_rose,Classic Rose,#fbcce7,"[251, 204, 231]"
171,cobalt,Cobalt,#0047ab,"[0, 71, 171]"
172,cocoa_brown,Cocoa Brown,#d2691e,"[210, 105, 30]"
173,coffee,Coffee,#6f4e37,"[111, 78, 55]"
174,columbia_blue,Columbia Blue,#9bddff,"[155, 221, 255]"
175,congo_pink,Congo Pink,#f88379,"[248, 131, 121]"
176,cool_black,Cool Black,#002e63,"[0, 46, 99]"
177,cool_grey,Cool Grey,#8c92ac,"[140, 146, 172]"
178,copper,Copper,#b87333,"[184, 115, 51]"
179,copper_crayola,Copper (Crayola),#da8a67,"[218, 138, 103]"
180,copper_penny,Copper Penny,#ad6f69,"[173, 111, 105]"
181,copper_red,Copper Red,#cb6d51,"[203, 109, 81]"
182,copper_rose,Copper Rose,#966,"[153, 102, 102]"
183,coquelicot,Coquelicot,#ff3800,"[255, 56, 0]"
184,coral,Coral,#ff7f50,"[255, 127, 80]"
185,coral_pink,Coral Pink,#f88379,"[248, 131, 121]"
186,coral_red,Coral Red,#ff4040,"[255, 64, 64]"
187,cordovan,Cordovan,#893f45,"[137, 63, 69]"
188,corn,Corn,#fbec5d,"[251, 236, 93]"
189,cornell_red,Cornell Red,#b31b1b,"[179, 27, 27]"
190,cornflower_blue,Cornflower Blue,#6495ed,"[100, 149, 237]"
191,cornsilk,Cornsilk,#fff8dc,"[255, 248, 220]"
192,cosmic_latte,Cosmic Latte,#fff8e7,"[255, 248, 231]"
193,cotton_candy,Cotton Candy,#ffbcd9,"[255, 188, 217]"
194,cream,Cream,#fffdd0,"[255, 253, 208]"
195,crimson,Crimson,#dc143c,"[220, 20, 60]"
196,crimson_glory,Crimson Glory,#be0032,"[190, 0, 50]"
197,cyan,Cyan,#0ff,"[0, 255, 255]"
198,cyan_process,Cyan (Process),#00b7eb,"[0, 183, 235]"
199,daffodil,Daffodil,#ffff31,"[255, 255, 49]"
200,dandelion,Dandelion,#f0e130,"[240, 225, 48]"
201,dark_blue,Dark Blue,#00008b,"[0, 0, 139]"
202,dark_brown,Dark Brown,#654321,"[101, 67, 33]"
203,dark_byzantium,Dark Byzantium,#5d3954,"[93, 57, 84]"
204,dark_candy_apple_red,Dark Candy Apple Red,#a40000,"[164, 0, 0]"
205,dark_cerulean,Dark Cerulean,#08457e,"[8, 69, 126]"
206,dark_chestnut,Dark Chestnut,#986960,"[152, 105, 96]"
207,dark_coral,Dark Coral,#cd5b45,"[205, 91, 69]"
208,dark_cyan,Dark Cyan,#008b8b,"[0, 139, 139]"
209,dark_electric_blue,Dark Electric Blue,#536878,"[83, 104, 120]"
210,dark_goldenrod,Dark Goldenrod,#b8860b,"[184, 134, 11]"
211,dark_gray,Dark Gray,#a9a9a9,"[169, 169, 169]"
212,dark_green,Dark Green,#013220,"[1, 50, 32]"
213,dark_imperial_blue,Dark Imperial Blue,#00416a,"[0, 65, 106]"
214,dark_jungle_green,Dark Jungle Green,#1a2421,"[26, 36, 33]"
215,dark_khaki,Dark Khaki,#bdb76b,"[189, 183, 107]"
216,dark_lava,Dark Lava,#483c32,"[72, 60, 50]"
217,dark_lavender,Dark Lavender,#734f96,"[115, 79, 150]"
218,dark_magenta,Dark Magenta,#8b008b,"[139, 0, 139]"
219,dark_midnight_blue,Dark Midnight Blue,#036,"[0, 51, 102]"
220,dark_olive_green,Dark Olive Green,#556b2f,"[85, 107, 47]"
221,dark_orange,Dark Orange,#ff8c00,"[255, 140, 0]"
222,dark_orchid,Dark Orchid,#9932cc,"[153, 50, 204]"
223,dark_pastel_blue,Dark Pastel Blue,#779ecb,"[119, 158, 203]"
224,dark_pastel_green,Dark Pastel Green,#03c03c,"[3, 192, 60]"
225,dark_pastel_purple,Dark Pastel Purple,#966fd6,"[150, 111, 214]"
226,dark_pastel_red,Dark Pastel Red,#c23b22,"[194, 59, 34]"
227,dark_pink,Dark Pink,#e75480,"[231, 84, 128]"
228,dark_powder_blue,Dark Powder Blue,#039,"[0, 51, 153]"
229,dark_raspberry,Dark Raspberry,#872657,"[135, 38, 87]"
230,dark_red,Dark Red,#8b0000,"[139, 0, 0]"
231,dark_salmon,Dark Salmon,#e9967a,"[233, 150, 122]"
232,dark_scarlet,Dark Scarlet,#560319,"[86, 3, 25]"
233,dark_sea_green,Dark Sea Green,#8fbc8f,"[143, 188, 143]"
234,dark_sienna,Dark Sienna,#3c1414,"[60, 20, 20]"
235,dark_slate_blue,Dark Slate Blue,#483d8b,"[72, 61, 139]"
236,dark_slate_gray,Dark Slate Gray,#2f4f4f,"[47, 79, 79]"
237,dark_spring_green,Dark Spring Green,#177245,"[23, 114, 69]"
238,dark_tan,Dark Tan,#918151,"[145, 129, 81]"
239,dark_tangerine,Dark Tangerine,#ffa812,"[255, 168, 18]"
240,dark_taupe,Dark Taupe,#483c32,"[72, 60, 50]"
241,dark_terra_cotta,Dark Terra Cotta,#cc4e5c,"[204, 78, 92]"
242,dark_turquoise,Dark Turquoise,#00ced1,"[0, 206, 209]"
243,dark_violet,Dark Violet,#9400d3,"[148, 0, 211]"
244,dark_yellow,Dark Yellow,#9b870c,"[155, 135, 12]"
245,dartmouth_green,Dartmouth Green,#00703c,"[0, 112, 60]"
246,davy_s_grey,Davy'S Grey,#555,"[85, 85, 85]"
247,debian_red,Debian Red,#d70a53,"[215, 10, 83]"
248,deep_carmine,Deep Carmine,#a9203e,"[169, 32, 62]"
249,deep_carmine_pink,Deep Carmine Pink,#ef3038,"[239, 48, 56]"
250,deep_carrot_orange,Deep Carrot Orange,#e9692c,"[233, 105, 44]"
251,deep_cerise,Deep Cerise,#da3287,"[218, 50, 135]"
252,deep_champagne,Deep Champagne,#fad6a5,"[250, 214, 165]"
253,deep_chestnut,Deep Chestnut,#b94e48,"[185, 78, 72]"
254,deep_coffee,Deep Coffee,#704241,"[112, 66, 65]"
255,deep_fuchsia,Deep Fuchsia,#c154c1,"[193, 84, 193]"
256,deep_jungle_green,Deep Jungle Green,#004b49,"[0, 75, 73]"
257,deep_lilac,Deep Lilac,#95b,"[153, 85, 187]"
258,deep_magenta,Deep Magenta,#c0c,"[204, 0, 204]"
259,deep_peach,Deep Peach,#ffcba4,"[255, 203, 164]"
260,deep_pink,Deep Pink,#ff1493,"[255, 20, 147]"
261,deep_ruby,Deep Ruby,#843f5b,"[132, 63, 91]"
262,deep_saffron,Deep Saffron,#f93,"[255, 153, 51]"
263,deep_sky_blue,Deep Sky Blue,#00bfff,"[0, 191, 255]"
264,deep_tuscan_red,Deep Tuscan Red,#66424d,"[102, 66, 77]"
265,denim,Denim,#1560bd,"[21, 96, 189]"
266,desert,Desert,#c19a6b,"[193, 154, 107]"
267,desert_sand,Desert Sand,#edc9af,"[237, 201, 175]"
268,dim_gray,Dim Gray,#696969,"[105, 105, 105]"
269,dodger_blue,Dodger Blue,#1e90ff,"[30, 144, 255]"
270,dogwood_rose,Dogwood Rose,#d71868,"[215, 24, 104]"
271,dollar_bill,Dollar Bill,#85bb65,"[133, 187, 101]"
272,drab,Drab,#967117,"[150, 113, 23]"
273,duke_blue,Duke Blue,#00009c,"[0, 0, 156]"
274,earth_yellow,Earth Yellow,#e1a95f,"[225, 169, 95]"
275,ebony,Ebony,#555d50,"[85, 93, 80]"
276,ecru,Ecru,#c2b280,"[194, 178, 128]"
277,eggplant,Eggplant,#614051,"[97, 64, 81]"
278,eggshell,Eggshell,#f0ead6,"[240, 234, 214]"
279,egyptian_blue,Egyptian Blue,#1034a6,"[16, 52, 166]"
280,electric_blue,Electric Blue,#7df9ff,"[125, 249, 255]"
281,electric_crimson,Electric Crimson,#ff003f,"[255, 0, 63]"
282,electric_cyan,Electric Cyan,#0ff,"[0, 255, 255]"
283,electric_green,Electric Green,#0f0,"[0, 255, 0]"
284,electric_indigo,Electric Indigo,#6f00ff,"[111, 0, 255]"
285,electric_lavender,Electric Lavender,#f4bbff,"[244, 187, 255]"
286,electric_lime,Electric Lime,#cf0,"[204, 255, 0]"
287,electric_purple,Electric Purple,#bf00ff,"[191, 0, 255]"
288,electric_ultramarine,Electric Ultramarine,#3f00ff,"[63, 0, 255]"
289,electric_violet,Electric Violet,#8f00ff,"[143, 0, 255]"
290,electric_yellow,Electric Yellow,#ff0,"[255, 255, 0]"
291,emerald,Emerald,#50c878,"[80, 200, 120]"
292,english_lavender,English Lavender,#b48395,"[180, 131, 149]"
293,eton_blue,Eton Blue,#96c8a2,"[150, 200, 162]"
294,fallow,Fallow,#c19a6b,"[193, 154, 107]"
295,falu_red,Falu Red,#801818,"[128, 24, 24]"
296,fandango,Fandango,#b53389,"[181, 51, 137]"
297,fashion_fuchsia,Fashion Fuchsia,#f400a1,"[244, 0, 161]"
298,fawn,Fawn,#e5aa70,"[229, 170, 112]"
299,feldgrau,Feldgrau,#4d5d53,"[77, 93, 83]"
300,fern_green,Fern Green,#4f7942,"[79, 121, 66]"
301,ferrari_red,Ferrari Red,#ff2800,"[255, 40, 0]"
302,field_drab,Field Drab,#6c541e,"[108, 84, 30]"
303,fire_engine_red,Fire Engine Red,#ce2029,"[206, 32, 41]"
304,firebrick,Firebrick,#b22222,"[178, 34, 34]"
305,flame,Flame,#e25822,"[226, 88, 34]"
306,flamingo_pink,Flamingo Pink,#fc8eac,"[252, 142, 172]"
307,flavescent,Flavescent,#f7e98e,"[247, 233, 142]"
308,flax,Flax,#eedc82,"[238, 220, 130]"
309,floral_white,Floral White,#fffaf0,"[255, 250, 240]"
310,fluorescent_orange,Fluorescent Orange,#ffbf00,"[255, 191, 0]"
311,fluorescent_pink,Fluorescent Pink,#ff1493,"[255, 20, 147]"
312,fluorescent_yellow,Fluorescent Yellow,#cf0,"[204, 255, 0]"
313,folly,Folly,#ff004f,"[255, 0, 79]"
314,forest_green_traditional,Forest Green (Traditional),#014421,"[1, 68, 33]"
315,forest_green_web,Forest Green (Web),#228b22,"[34, 139, 34]"
316,french_beige,French Beige,#a67b5b,"[166, 123, 91]"
317,french_blue,French Blue,#0072bb,"[0, 114, 187]"
318,french_lilac,French Lilac,#86608e,"[134, 96, 142]"
319,french_lime,French Lime,#cf0,"[204, 255, 0]"
320,french_raspberry,French Raspberry,#c72c48,"[199, 44, 72]"
321,french_rose,French Rose,#f64a8a,"[246, 74, 138]"
322,fuchsia,Fuchsia,#f0f,"[255, 0, 255]"
323,fuchsia_crayola,Fuchsia (Crayola),#c154c1,"[193, 84, 193]"
324,fuchsia_pink,Fuchsia Pink,#f7f,"[255, 119, 255]"
325,fuchsia_rose,Fuchsia Rose,#c74375,"[199, 67, 117]"
326,fulvous,Fulvous,#e48400,"[228, 132, 0]"
327,fuzzy_wuzzy,Fuzzy Wuzzy,#c66,"[204, 102, 102]"
